Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Kristella;Anderson;N;1930-01-21;1999-12-26;;;
Edvard;Beljajev;M;1976-12-28;0000-00-00;Maantee;küla;Saaremaa
Remi;Vaht;M;1952-11-04;0000-00-00;Marjamäe;küla;Viljandimaa
Olavi;Õunapuu;M;1989-05-23;1994-06-09;;;
Kärt;Lipp;N;1973-03-05;0000-00-00;Suure-Lähtru;küla;Läänemaa
Boriss;Tuul;M;2016-04-04;0000-00-00;Aruküla;küla;Lääne-Virumaa
Maidu;Remmel;M;1983-08-24;0000-00-00;Polli;küla;Viljandimaa
Uku;Kütt;M;2005-10-01;2008-10-23;;;
Boriss;Pruul;M;1968-11-25;2002-04-19;;;
Remo;Juhkam;M;1975-08-03;0000-00-00;Kalbu;küla;Raplamaa
Natalia;Raidma;N;1978-11-18;0000-00-00;Männisalu;küla;Põlvamaa
Kaie;Kaljuste;N;1909-04-06;0000-00-00;Uusküla;küla;Läänemaa
Anne-Liis;Raidma;N;2008-09-29;0000-00-00;Paunaste;küla;Harjumaa
Vadim;Aakre;M;2001-05-28;0000-00-00;Rukkiküla;küla;Pärnumaa
Aigar;Mõttus;M;1913-06-24;2013-01-29;;;
Janne;Piho;N;2012-01-25;2017-08-30;;;
Emily;Valk;N;1944-01-06;1959-12-21;;;
Feliks;Powell;M;1922-09-18;1973-05-24;;;
Viivika;Pulk;N;1982-06-16;1985-05-27;;;
Eret;Abel;N;2010-03-29;2017-08-06;;;
Iti;Kurvits;N;1965-09-21;0000-00-00;Sookaera-Metsanurga;küla;Harjumaa
Isabel;Jermakov;N;2000-10-07;2013-06-02;;;
Marika;Egorov;N;1914-10-09;0000-00-00;Esna;küla;Järvamaa
Tristan;Pikk;M;1982-05-18;2012-09-19;;;
Anti;Kotkas;M;1944-11-12;1957-09-26;;;
Alisa;Poom;N;2018-07-01;2019-08-28;;;
Ain;Sutt;M;1986-08-06;2010-03-08;;;
Aleks;Kangro;M;1977-10-22;2012-05-21;;;
Eliise;Kaljuvee;N;1926-02-01;0000-00-00;Hänga;küla;Saaremaa
Lilian;Liivak;N;1940-07-25;1992-05-28;;;
Dagne;Kaur;N;1970-03-12;2010-05-23;;;
Ann;Jänes;N;1956-06-29;0000-00-00;Laekannu;küla;Ida-Virumaa
Dagne;Kriisa;N;1972-07-16;0000-00-00;Paduvere;küla;Jõgevamaa
Karmel;Erik;N;1902-09-29;1951-07-13;;;
Sten Martin;Siim;M;1965-07-24;1995-10-06;;;
Anna-Liisa;Valge;N;1922-05-05;1929-11-23;;;
Kerstin;Dmitriev;N;1944-07-07;1970-03-10;;;
Karita;Tuul;N;1951-03-28;0000-00-00;Muduri;küla;Võrumaa
Kristel;Maasik;N;1940-09-28;1949-10-14;;;
Karmen;Filippov;N;1909-12-03;0000-00-00;Vaidavere;küla;Jõgevamaa
Marken;Jürgenson;M;1985-03-20;2001-02-05;;;
Eero;Sisask;M;2001-07-18;0000-00-00;Toomalõuka;küla;Saaremaa
Rebekka;Lukin;N;1902-10-10;0000-00-00;Pikru;küla;Viljandimaa
Brandon;Koitla;M;1940-12-18;0000-00-00;Juraski;küla;Võrumaa
Lars;Sillaste;M;2000-02-05;0000-00-00;Virita;küla;Saaremaa
Marje;Kelder;N;1916-07-14;1996-11-07;;;
Tim;Võsu;M;1907-05-18;0000-00-00;Partsi;küla;Põlvamaa
Sulev;Timofejev;M;1993-04-10;2012-07-01;;;
Kunnar;Oks;M;1939-06-01;1950-02-10;;;
Marge;Mihhailov;N;1967-10-24;1997-12-28;;;
Markkus;Ilves;M;1972-02-09;0000-00-00;Tori;alevik;Pärnumaa
Kristen;Hein;M;1920-07-01;1981-01-02;;;
Lisete;Koit;N;2002-10-09;2006-02-27;;;
Dana;Kivistik;N;1937-01-21;1961-07-09;;;
Rita;Jegorov;N;1998-09-01;0000-00-00;Alustre;küla;Viljandimaa
Karolin;Rosenberg;N;1913-02-20;0000-00-00;Liivamäe;küla;Harjumaa
Valdo;Lääts;M;2000-11-20;2009-05-07;;;
Laura Maria;Fjodorov;N;2008-06-22;0000-00-00;Ole;küla;Hiiumaa
Helis;Niit;N;1906-01-04;0000-00-00;Hüti;küla;Võrumaa
Nika;Alas;N;1911-02-23;0000-00-00;Kõrveküla;alevik;Tartumaa
Samanta;Maslov;N;2007-09-21;2017-05-20;;;
Helari;Romanov;M;1990-08-11;2007-04-27;;;
Freddy;Voronin;M;1956-10-25;1998-04-07;;;
Liisu;Aasmäe;N;1934-08-01;0000-00-00;Patjala;küla;Jõgevamaa
Cärolin;Aus;N;2013-09-29;2018-11-30;;;
Gerttu;Baskin;N;1991-10-12;0000-00-00;Kodila-Metsküla;küla;Raplamaa
Andry;Kolesnik;M;1900-01-07;0000-00-00;Männiku;küla;Harjumaa
Enri;Vaher;M;2000-07-17;2012-07-24;;;
Cassandra;Veski;N;1953-04-23;1973-02-21;;;
Grigori;Kazakov;M;2013-07-09;2016-10-23;;;
Oleg;Frolov;M;1977-11-03;2018-08-31;;;
Urmo;Smirnov;M;1903-01-07;0000-00-00;Sooaluste;küla;Raplamaa
Eve;Arula;N;1997-01-16;0000-00-00;Villa;küla;Viljandimaa
Angela;Käär;N;1948-09-13;0000-00-00;Punikvere;küla;Jõgevamaa
Marianna;Orav;N;1986-02-05;0000-00-00;Siberi;küla;Lääne-Virumaa
Melissa;Viik;N;1905-12-20;0000-00-00;Auvere;küla;Ida-Virumaa
Renet;Kalamees;M;1954-09-03;1977-01-31;;;
Triinu-Liis;Ignatjev;N;2014-02-03;0000-00-00;Kosu;küla;Harjumaa
Raido;Loginov;M;1927-01-21;1968-01-17;;;
Jakob;Kaljuste;M;1930-08-23;0000-00-00;Saustinõmme;küla;Harjumaa
Marcus;Suits;M;1900-04-10;2007-06-14;;;
Ardi;Sisask;M;1932-04-20;0000-00-00;Kaalepi;küla;Järvamaa
Alexander;Herodes;M;1900-09-06;0000-00-00;Mäeltse;küla;Hiiumaa
Riho;Abramov;M;1925-03-01;0000-00-00;Rõõsa;küla;Harjumaa
Kaido;Pulk;M;1978-01-26;1996-10-24;;;
Liisa;Siim;N;1975-03-02;1984-03-13;;;
Aleksandr;Ossipov;M;1939-02-14;0000-00-00;Koljaku;küla;Lääne-Virumaa
Olivia;Truu;N;1925-11-29;1947-07-26;;;
Andrey;Semenov;M;1923-01-17;0000-00-00;Rootsi;küla;Raplamaa
Laura Liisa;Aasa;N;1993-10-22;2013-11-12;;;
Juss;Teder;M;2004-10-17;0000-00-00;Tessova;küla;Võrumaa
Andri;Matvejev;M;1931-07-31;0000-00-00;Tõhela;küla;Pärnumaa
Lisanna;Kasemaa;N;2017-10-19;0000-00-00;Mustumetsa;küla;Valgamaa
Danil;Drozdov;M;1924-04-26;0000-00-00;Mõnuvere;küla;Järvamaa
Jürgen;Herodes;M;1962-08-29;1972-07-02;;;
Helar;Reimann;M;1961-09-23;2004-03-08;;;
Liis;Kõiv;N;1900-04-14;1974-01-21;;;
Heigo;Susi;M;1995-10-13;2011-02-16;;;
Riivo;Kink;M;1979-01-20;0000-00-00;Tsolli;küla;Võrumaa
Renno;Kohv;M;1929-05-11;1953-04-25;;;
Karet;Sikorski;N;1917-03-11;0000-00-00;Tõrreküla;küla;Viljandimaa
Patrick;Sulg;M;1955-10-22;1979-05-06;;;
Tõnu;Friedman;M;2011-07-01;2018-04-26;;;
Ako;Schmidt;M;1959-05-19;2007-11-17;;;
Risto;Saare;M;1962-10-15;0000-00-00;Metsapere;küla;Hiiumaa
Madli;Ploom;N;1972-08-09;2009-12-04;;;
Koit;Muru;M;1983-06-10;2005-12-12;;;
Raimo;Lauri;M;1932-04-15;1941-11-25;;;
Janne;Kuuse;N;1964-09-01;1993-01-14;;;
Pärtel;Teder;M;1946-04-26;1997-07-24;;;
Reti;Jürgens;N;1936-07-07;0000-00-00;Püssi;Linn;Ida-Virumaa
Ermo;Reinke;M;1988-09-25;0000-00-00;Kaubi;küla;Saaremaa
Aliise;Bell;N;1964-06-14;1967-07-01;;;
Nele;Mikelsaar;N;2018-02-08;0000-00-00;Läste;küla;Lääne-Virumaa
Aaron;Mann;M;1995-09-10;1996-07-01;;;
Mai-Liis;Allik;N;1943-07-05;0000-00-00;Eru;küla;Lääne-Virumaa
Meeli;Raamat;N;1933-09-14;1979-12-29;;;
Margareth;Mark;N;1968-03-19;0000-00-00;Paate;küla;Ida-Virumaa
Ly;Valge;N;1902-03-30;0000-00-00;Mõtsavaara;küla;Põlvamaa
Veera;Kalmus;N;1931-11-12;2005-08-12;;;
Nadežda;Luts;N;1930-09-03;0000-00-00;Aidu-Liiva;küla;Ida-Virumaa
Karet;Kikkas;N;1948-03-22;2003-10-16;;;
Claudia;Vares;N;1915-09-14;1971-05-22;;;
Sergey;Mürk;M;1918-07-05;1975-06-04;;;
Kati;Nikiforov;N;1911-08-31;0000-00-00;Hallimäe;küla;Võrumaa
Carl;Konstantinov;M;1996-12-01;2012-09-12;;;
Stepan;Merisaar;M;1984-08-02;0000-00-00;Vorsti;küla;Jõgevamaa
Karina;Suits;N;2001-05-29;0000-00-00;Lannuste;küla;Läänemaa
Kender;Kukk;M;2014-08-07;2018-02-27;;;
Kerdo;Rohtla;M;1942-01-29;0000-00-00;Koppelmaa;küla;Harjumaa
Kaari;Denissov;N;1922-02-20;0000-00-00;Kahkva;küla;Põlvamaa
Gregor;Käär;M;1928-03-15;0000-00-00;Mällu;küla;Raplamaa
Raul;Laine;M;1986-11-18;0000-00-00;Marina;küla;Pärnumaa
Lev;Kissa;M;1919-05-02;1997-12-26;;;
Inga;Dmitriev;N;2011-01-25;2017-07-18;;;
Aare;Jõe;M;1943-08-17;0000-00-00;Rebaste;küla;Viljandimaa
Maxim;Müür;M;1981-12-15;0000-00-00;Karjatnurme;küla;Valgamaa
Kadri;Pukk;N;1962-02-08;0000-00-00;Lasva;küla;Võrumaa
Geir;Varik;M;1906-04-13;1932-12-26;;;
Pjotr;Voronin;M;1916-08-01;1975-12-16;;;
Marlon;Tuulik;M;1905-02-22;2015-08-21;;;
Kairit;Juhanson;N;1987-03-27;1988-06-20;;;
Sander;Orav;M;1951-01-21;1982-05-24;;;
Meeli;Sillaots;N;2005-05-14;0000-00-00;Jõe;küla;Saaremaa
Egle;Nurk;N;1915-10-22;0000-00-00;Keila-Joa;küla;Harjumaa
Karina;Pikk;N;1902-03-25;1983-06-17;;;
Niina;Valge;N;1992-04-28;0000-00-00;Navikõ;küla;Võrumaa
Daniela;Palm;N;2003-04-07;2007-04-01;;;
Eva-Lotta;Jõe;N;1904-01-31;1917-12-28;;;
Reti;Annus;N;1938-12-12;0000-00-00;Paali;küla;Tartumaa
Riko;Konovalov;M;1995-05-02;2001-09-21;;;
Rahel;Käärik;N;1992-03-10;0000-00-00;Pausakunnu;küla;Võrumaa
Artem;Täht;M;1940-12-09;1953-03-12;;;
Kristella;Sander;N;1984-05-13;0000-00-00;Kaubi;küla;Saaremaa
Enar;Lindgren;M;1963-04-28;1985-02-14;;;
Fjodor;Sild;M;1903-11-12;1927-09-24;;;
Ronaldo;Beljajev;M;1920-04-09;0000-00-00;Reegoldi;küla;Viljandimaa
Kait;Kangur;M;1943-07-06;1950-03-05;;;
Keiti;Soo;N;2003-02-03;2017-04-21;;;
Karl Kevin;Kulikov;M;1909-01-24;1981-10-26;;;
Oleg;Smirnov;M;1963-04-04;0000-00-00;Koipsi;küla;Harjumaa
Milena;Markson;N;1950-11-25;1953-09-08;;;
Sebastian;Kont;M;1904-03-10;0000-00-00;Kabila;küla;Harjumaa
Ketlin;Soo;N;1982-05-01;1991-07-12;;;
Helari;Ossipov;M;1960-04-13;0000-00-00;Kargaja;küla;Tartumaa
Karen;Jefimov;N;1912-11-28;1914-02-11;;;
Keimo;Kalamees;M;1966-08-16;0000-00-00;Randvere;küla;Saaremaa
Arti;Lindgren;M;1939-01-06;1997-08-13;;;
Kenneth;Maksimov;M;1902-09-05;1966-06-18;;;
Fjodor;Luiga;M;1953-11-20;0000-00-00;Igrise;küla;Põlvamaa
Günther;Puusepp;M;2007-12-09;2014-03-02;;;
Fred;Markson;M;2009-08-01;2015-11-13;;;
Vsevolod;Lehtmets;M;2001-03-19;0000-00-00;Tsitre;küla;Harjumaa
Ken;Soosaar;M;1949-10-23;2012-05-16;;;
Karl-Kristjan;Sander;M;1997-09-27;2001-01-01;;;
Leanika;Põldmaa;N;1948-04-13;0000-00-00;Sillapää;küla;Põlvamaa
Hedi;Abbt;N;1958-01-16;1997-09-28;;;
Aleksandra;Väli;N;1975-01-20;1983-01-01;;;
Patricia;Kala;N;1903-01-26;0000-00-00;Lompka;küla;Võrumaa
Taaniel;Allik;M;1900-07-23;0000-00-00;Hurda;küla;Võrumaa
Raimo;Liivamägi;M;2003-11-04;2017-12-21;;;
Valeri;Moor;M;1961-09-09;1999-11-19;;;
Vallo;Kriisa;M;1975-12-06;0000-00-00;Raadivere;küla;Jõgevamaa
Patrik;Koitla;M;1968-04-20;1971-04-27;;;
Adriana;Põldmaa;N;1961-12-28;2001-05-26;;;
Carmel;Jaanson;N;2008-01-13;0000-00-00;Jõusa;küla;Tartumaa
Violetta;Laks;N;1918-01-06;0000-00-00;Mui;küla;Saaremaa
Brenda;Oks;N;1995-06-20;0000-00-00;Kingu;küla;Viljandimaa
Maxim;Zujev;M;1937-05-08;1959-07-14;;;
Kaimo;Liiv;M;1993-07-09;2010-05-08;;;
Ahto;Valge;M;1902-12-09;0000-00-00;Riiviku;küla;Tartumaa
Elvis;Voronin;M;1924-11-21;1963-08-04;;;
Simo;Tomingas;M;1986-07-18;0000-00-00;Linnakse;küla;Harjumaa
Heleri;Mägi;N;1984-02-07;2000-08-26;;;
Jane-Ly;Kuzmin;N;1915-04-16;0000-00-00;Uneste;küla;Läänemaa
Konstantin;Tamme;M;1906-06-13;1938-07-16;;;
Loora;Kroon;N;1933-08-25;0000-00-00;Veskisoo;küla;Pärnumaa
Karl Kevin;Toom;M;1939-01-03;0000-00-00;Kiilaspere;küla;Raplamaa
Yana;Kolesnik;N;1940-07-05;1968-09-10;;;
Veljo;Kangro;M;1962-03-17;0000-00-00;Koloreino;küla;Võrumaa
Margareth;Nazarov;N;1955-11-10;2016-11-22;;;
Timmo;Maasik;M;2012-11-19;0000-00-00;Pöitse;küla;Saaremaa
Eva Maria;Vinogradov;N;1968-08-13;0000-00-00;Kõomäe;küla;Võrumaa
Geidi;Kiik;N;1915-09-27;1999-07-30;;;
Ines;Kulikov;N;1918-08-28;1945-03-17;;;
Meril;Iljin;N;1983-11-01;1994-06-04;;;
Erlend;Treier;M;1963-07-30;0000-00-00;Niguli;küla;Viljandimaa
Liisa;Green;N;1941-12-25;0000-00-00;Helbi;küla;Võrumaa
Lii;Kiisk;N;2007-01-20;2015-05-12;;;
Villem;Põder;M;1998-02-06;0000-00-00;Õle;küla;Järvamaa
Olari;Kalm;M;2017-04-20;2018-02-07;;;
Liisa-Maria;Herodes;N;1996-11-30;2018-06-26;;;
Kadri-Liis;Kilk;N;2013-05-10;0000-00-00;Üksnurme;küla;Harjumaa
Triin;Vaht;N;1939-09-05;1954-06-05;;;
Leelo;Konovalov;N;1944-01-05;0000-00-00;Ülenurme;alevik;Tartumaa
Natalija;Karu;N;2003-12-05;2007-09-08;;;
Andero;Maidla;M;1932-05-20;1986-12-15;;;
Hanna-Maria;Põldmaa;N;1913-11-21;0000-00-00;Tõdva;küla;Harjumaa
Teet;Sikorski;M;1971-08-16;1991-06-09;;;
Airika;Ots;N;1988-09-21;0000-00-00;Loja;küla;Hiiumaa
Jekaterina;Sillaots;N;1943-08-18;0000-00-00;Vaimastvere;küla;Jõgevamaa
Enrico;Härm;M;1921-03-16;2017-01-29;;;
Carol;Link;N;1905-10-01;0000-00-00;Aardla;küla;Tartumaa
Sergei;Kaljuvee;M;2010-02-20;2011-01-07;;;
Cristofer;Liiv;M;1945-10-09;1951-01-18;;;
Adele;Soo;N;1964-08-19;0000-00-00;Põhjaka;küla;Viljandimaa
Killu;Tuulik;N;2018-09-21;2019-02-26;;;
Klaarika;Põder;N;2010-08-17;0000-00-00;Samma;küla;Lääne-Virumaa
Mihkel;Soo;M;1948-11-03;1996-08-13;;;
Jarek;Kulikov;M;1997-07-06;2007-05-22;;;
Uku;Sander;M;1918-02-18;1979-04-22;;;
Liisa;Saks;N;1975-08-28;0000-00-00;Napanurga;küla;Raplamaa
Raneli;Mäesalu;N;1914-09-22;0000-00-00;Räitsvere;küla;Lääne-Virumaa
Pjotr;Sulg;M;1981-01-21;0000-00-00;Mihkli;küla;Pärnumaa
Susanna;Salumets;N;1923-04-19;0000-00-00;Võntküla;küla;Läänemaa
Elmar;Õun;M;2009-05-19;0000-00-00;Õuna;küla;Jõgevamaa
Getrin;Kokk;N;1971-10-21;0000-00-00;Pühi;küla;Tartumaa
Elise;Kuningas;N;1921-06-20;1938-04-12;;;
Kerstin;Kull;N;2013-08-10;0000-00-00;Kustja;küla;Harjumaa
Sigrit;Stepanov;N;1972-10-01;0000-00-00;Kirikuküla;küla;Saaremaa
Mariel;Ševtšenko;N;1946-06-14;1953-08-31;;;
Karmo;Annus;M;1951-08-21;0000-00-00;Liispõllu;küla;Tartumaa
Fjodor;Leht;M;1940-01-19;1993-12-29;;;
Renar;Vares;M;1991-05-04;0000-00-00;Paope;küla;Hiiumaa
Taavet;Karro;M;1992-02-13;0000-00-00;Loo;alevik;Harjumaa
Kärol;Luik;N;1902-09-04;1956-10-04;;;
Karl-Hendrik;Nurk;M;1981-05-07;0000-00-00;Põdrangu;küla;Lääne-Virumaa
Randel;Sergejev;M;2016-03-02;0000-00-00;Voki;küla;Võrumaa
Kristian;Lunin;M;1980-06-19;1984-12-04;;;
Kuldar;Paju;M;1940-01-15;1973-10-30;;;
Maido;Tooming;M;1921-05-15;0000-00-00;Möldre;küla;Võrumaa
Erich;Renoir;M;1951-08-29;0000-00-00;Kahala;küla;Järvamaa
Johannes;Puusepp;M;1987-09-25;1994-05-12;;;
Luisa;Nurm;N;1946-11-14;1961-12-02;;;
Jan Erik;Adamson;M;1983-11-15;1996-09-14;;;
Marta;Vlassov;N;1936-07-05;0000-00-00;Kaave;küla;Jõgevamaa
Ly;Kukk;N;1946-07-22;0000-00-00;Kirna;küla;Läänemaa
Riin;Õispuu;N;2000-04-18;0000-00-00;Vissuvere;küla;Järvamaa
Jaanika;Vaht;N;2014-04-01;2019-10-11;;;
Karl Jakob;Prikk;M;2009-07-14;0000-00-00;Mustla;küla;Saaremaa
Vivian;Ossipov;N;1967-09-01;0000-00-00;Vedernika;küla;Põlvamaa
Martti;Ignatjev;M;1951-02-15;2015-11-17;;;
Geir;Meier;M;2006-12-10;0000-00-00;Ürjaste;küla;Harjumaa
Eret;Kalm;N;1942-12-13;0000-00-00;Järlepa;küla;Raplamaa
Feliks;Pihelgas;M;1962-12-03;1982-11-07;;;
Mirell;Kolk;N;1941-07-15;1959-04-14;;;
Alla;Anderson;N;1925-06-16;1993-04-15;;;
Tauno;Parts;M;1919-07-16;0000-00-00;Kadrina;alevik;Lääne-Virumaa
Loore;Tamm;N;1984-08-04;1996-08-20;;;
Katarina;Lotman;N;1922-10-28;0000-00-00;Lehmja;küla;Harjumaa
Maris;Kurg;N;1998-03-14;2014-02-01;;;
Georgi;Kilk;M;1945-02-11;1973-07-13;;;
Markus;Lehtla;M;1917-01-22;1982-12-18;;;
Andris;Kaljula;M;1907-09-11;0000-00-00;Külama;küla;Hiiumaa
Mathias;Männik;M;1978-03-27;1998-12-20;;;
Helena;Palm;N;1955-05-29;0000-00-00;Pärnselja;küla;Hiiumaa
Merle;Abel;N;1920-07-10;1934-11-26;;;
Kadri-Liis;Meier;N;1983-06-26;0000-00-00;Pusi;küla;Tartumaa
Mattis;Gusev;M;1901-11-28;0000-00-00;Aseri;alevik;Ida-Virumaa
Aile;Mikk;N;1983-06-21;2011-02-23;;;
Teele;Lang;N;1932-11-15;2014-07-27;;;
Johan;Truu;M;1957-07-11;2000-09-21;;;
Janet;Kuuse;N;1998-05-18;2009-03-26;;;
Minna;Jakovlev;N;2002-06-24;2012-01-13;;;
Erle;Loorits;N;1921-06-17;1988-11-11;;;
Ken;Loginov;M;1994-09-29;2005-08-19;;;
Robi;Randmaa;M;2016-10-17;2017-12-03;;;
Harry;Hansen;M;1986-05-30;0000-00-00;Viisuküla;küla;Viljandimaa
Kender;Klein;M;1976-10-16;0000-00-00;Vihula;küla;Lääne-Virumaa
Aile;Alas;N;1959-09-02;1969-06-09;;;
Meril;Ott;N;1984-06-20;1998-03-25;;;
Arkadi;Kass;M;2006-08-14;2009-01-22;;;
Nikita;Karu;M;1933-07-16;1940-04-01;;;
Andris;Laur;M;1932-09-27;1942-08-22;;;
Simon;Fedotov;M;2009-05-30;0000-00-00;Metsküla;küla;Viljandimaa
Brita;Simm;N;1900-01-09;1919-05-11;;;
Natalija;Kotov;N;1950-06-02;0000-00-00;Torila;küla;Tartumaa
Maarit;Müür;N;1986-02-28;1987-10-11;;;
Inna;Aun;N;2001-12-13;2010-09-09;;;
Liisbet;Nuut;N;2014-02-27;2016-08-14;;;
Kerti;Jalakas;N;1929-11-09;1975-02-21;;;
Vanessa;Lomp;N;1936-10-10;1965-08-06;;;
Rinat;Tammet;M;1952-06-28;1967-01-29;;;
Rauno;Veski;M;1903-10-25;1931-03-22;;;
Aurelia;Suits;N;1915-08-15;1929-04-23;;;
Maikel;Hanson;M;1939-03-16;1960-08-20;;;
Birgit;Kangur;N;1939-03-10;1979-12-23;;;
Rainar;Abramov;M;1917-08-14;0000-00-00;Roostoja;küla;Ida-Virumaa
Maido;Kivilo;M;1912-07-27;2006-09-21;;;
Tambet;Õunapuu;M;1947-09-28;2012-10-07;;;
Christina;Põld;N;1922-11-04;0000-00-00;Karinõmme;küla;Pärnumaa
Kristi;Ader;N;1981-10-28;0000-00-00;Röa;küla;Järvamaa
Niina;Meister;N;1936-07-21;1976-04-12;;;
Henri;Baskin;M;1960-07-04;1996-03-25;;;
Rivo;Kirillov;M;1989-07-28;2000-10-12;;;
Maarek;Aru;M;1948-03-01;0000-00-00;Jänistvere;küla;Pärnumaa
